flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
0,3.000000,273.149994,25.000000,0.120900,8.708887e-16,1.059305e-20,8.708959e-16,7.220166e-21,1.782000e-04,-1.000000
0,3.000000,273.149994,50.000000,0.241700,6.967110e-15,6.779529e-19,6.967572e-15,4.620890e-19,1.794500e-04,-1.000000
0,3.000000,273.149994,100.000000,0.483500,5.573814e-14,4.338678e-17,5.576771e-14,2.957181e-17,1.911800e-04,-1.000000
0,3.000000,273.149994,200.000000,0.966900,4.459553e-13,2.776280e-15,4.478468e-13,1.891490e-15,2.476700e-04,-1.000000
0,3.000000,273.149994,500.000000,2.417400,6.899959e-12,6.713996e-13,7.357469e-12,4.575101e-13,5.254100e-04,-1.000000
0,3.000000,273.149994,750.000000,3.626000,2.325564e-11,7.619976e-12,2.845140e-11,5.195762e-12,8.816400e-04,-1.000000
0,3.000000,273.149994,1000.000000,4.834700,5.515065e-11,4.267617e-11,8.429427e-11,2.914361e-11,1.630700e-03,-1.000000
1,3.000000,273.149994,25.000000,0.082600,7.866155e-16,9.646058e-21,7.866220e-16,6.497599e-21,1.786100e-04,-1.000000
1,3.000000,273.149994,50.000000,0.165200,6.293002e-15,6.173437e-19,6.293418e-15,4.158448e-19,1.790300e-04,-1.000000
1,3.000000,273.149994,100.000000,0.330300,5.034402e-14,3.951000e-17,5.037064e-14,2.661746e-17,1.809100e-04,-1.000000
1,3.000000,273.149994,200.000000,0.660700,4.028024e-13,2.528514e-15,4.045078e-13,1.705382e-15,1.986700e-04,-1.000000
1,3.000000,273.149994,500.000000,1.651700,6.288762e-12,6.166824e-13,6.704795e-12,4.160333e-13,3.000900e-04,-1.000000
1,3.000000,273.149994,750.000000,2.477600,2.118985e-11,7.009516e-12,2.590883e-11,4.718986e-12,3.829600e-04,-1.000000
1,3.000000,273.149994,1000.000000,3.303500,5.028119e-11,3.937656e-11,7.679592e-11,2.651473e-11,4.654200e-04,-1.000000
2,3.000000,273.149994,25.000000,0.065800,7.328157e-16,9.042038e-21,7.328218e-16,6.040890e-21,1.789200e-04,-1.000000
2,3.000000,273.149994,50.000000,0.131600,5.862526e-15,5.786944e-19,5.862913e-15,3.866122e-19,1.793100e-04,-1.000000
2,3.000000,273.149994,100.000000,0.263200,4.690083e-14,3.703667e-17,4.692558e-14,2.474601e-17,1.803000e-04,-1.000000
2,3.000000,273.149994,200.000000,0.526500,3.752444e-13,2.370442e-15,3.768292e-13,1.584745e-15,1.845000e-04,-1.000000
2,3.000000,273.149994,500.000000,1.316200,5.866531e-12,5.787338e-13,6.253568e-12,3.870364e-13,1.987000e-04,-1.000000
2,3.000000,273.149994,750.000000,1.974300,1.978497e-11,6.585592e-12,2.418268e-11,4.397719e-12,2.257300e-04,-1.000000
2,3.000000,273.149994,1000.000000,2.632400,4.695738e-11,3.701694e-11,7.166098e-11,2.470360e-11,2.529300e-04,-1.000000
3,3.000000,273.149994,25.000000,0.081100,8.798227e-16,1.075886e-20,8.798300e-16,7.303024e-21,1.783200e-04,-1.000000
